ID,이름,위도,경도,분류코드,지역코드,이미지
33,동대문정육식당,37.57124317,127.0110068,1,1,http://post.phinf.naver.net/MjAyMTAzMDRfMTQ4/MDAxNjE0ODI0MzI3NTM1.3f-Q3ZE-ZGooRxKztVIf4B7dXIXaFYvy50zeUpi7yggg.nLBItyZYMBUYslsur2PSpcEGrz7KFxvfVii-aN4gzUAg.JPEG/IjmZXoByPaY-j84A4ViHeS8kKxpw.jpg
34,더식당 명동,37.56232708,126.9855566,1,1,http://post.phinf.naver.net/MjAxNzA2MTdfMTYz/MDAxNDk3NjQwNDE2MDEy.mdtxSDDAvQVLW9nU8o_9N3YYCLi6c_Zw8F3qxYh5fwsg.S-d46eDyB03ZEF094_GxIZcBJZY2KIsV-ZrWTtYJmmMg.JPEG/IKw12xRuagGZAL5ltJuLO6Xysyxk.jpg
35,쌍대포 맷돌순두부,37.52177796,126.9266298,1,1,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e570a2c8-ee8d-4312-880b-40215da6f53a
36,호밀밭,37.55893223,126.9406191,1,1,http://post.phinf.naver.net/MjAxODA0MzBfOTgg/MDAxNTI1MDc1OTI5ODQ3.p_8eXUhd18LHCilhfMp-dwQZ3jQJXyQwug_1tsl2Zqgg.z-n_sKOQO0yDRylY10FD9_GuNZmVQESk-JIU-GFPeFsg.JPEG/IawQdCBwTXCROi34k9kmpZ-P7dP0.jpg
37,고래불,37.49634673,127.0339874,1,1,http://post.phinf.naver.net/MjAxNzA4MDNfMjA2/MDAxNTAxNzMzMDU4NzA1.wuRUjC3-UQ20Wi_Qz68A8HWy0Kkw8mkhAiR3c9Z5GI0g.riuPh6EqNoE3jJhlqsBWcRxss_4X9nj6UK2_FBzIqAkg.JPEG/IHmJreZQtkwApIOjeEdlsJcaSwdg.jpg
38,너비집,37.56558223,126.98379,1,1,https://fastly.4sqi.net/img/general/600x600/756926_aEYisw-HSqgEriSngn8A7LcFHHUDTljdqKZ6FF-vI24.jpg
39,김가네가마솥설렁탕,37.56506255,126.8119196,1,1,http://tong.visitkorea.or.kr/cms/resource/21/1805121_image2_1.jpg
40,서당골,37.64712613,127.017318,1,1,"https://mp-seoul-image-production-s3.mangoplate.com/95331/749025_1492046202402_52926?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
41,최대감네,37.57405351,126.9861146,1,1,http://tong.visitkorea.or.kr/cms/resource/26/1845026_image2_1.jpg
42,스미스가 좋아하는 한옥,37.57803072,126.9800483,1,1,http://post.phinf.naver.net/MjAxNzEwMTdfMTU1/MDAxNTA4MjIyMDg2MDAy.X9FFHzdFnGMmmH_uikKQDzdQuCfzvaErlDu5CqkkYUsg.wbQCpA-aoNxvjY0HdkXdEv_bkQGIxB4c3dkbsmDxMHog.JPEG/IhEP8HeADvUhSgRRdlBTUA3UIttE.jpg
